id;name;country;price;description
1;Shoes incentivize;Cameroon;40340;Chair
2;Villages Club methodology;Afghanistan;17135;bypassing Stravenue IB
3;didactic;Qatar;21416;port
4;Metal Profit-focused;South Africa;37874;Outdoors exuding
5;encompassing encompassing Stream;Botswana;69224;Assimilated
6;explicit Representative;Seychelles;29894;invoice copying
7;Future-proofed SMS;Central African Republic;20958;architecture Card
8;Sleek Investor;Cook Islands;30123;embrace Tasty withdrawal
9;auxiliary override;Costa Rica;13849;South maximize
10;emulation;Lebanon;10415;reinvent Small
